V1	V(n001)	V(n002)	I(D1)
0.000000000000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000000000000e-03	1.000000e-03	8.341678e-10	5.561119e-11
2.000000000000000e-03	2.000000e-03	1.705699e-09	1.137132e-10
3.000000000000000e-03	3.000000e-03	2.587197e-09	1.724798e-10
4.000000000000000e-03	4.000000e-03	3.488363e-09	2.325575e-10
5.000000000000000e-03	5.000000e-03	4.409637e-09	2.939758e-10
6.000000000000000e-03	6.000000e-03	5.351466e-09	3.567644e-10
7.000000000000000e-03	7.000000e-03	6.314310e-09	4.209540e-10
8.000000000000000e-03	8.000000e-03	7.298637e-09	4.865758e-10
9.000000000000001e-03	9.000000e-03	8.304927e-09	5.536618e-10
1.000000000000000e-02	1.000000e-02	9.333671e-09	6.222447e-10
1.100000000000000e-02	1.100000e-02	1.038537e-08	6.923578e-10
1.200000000000000e-02	1.200000e-02	1.146053e-08	7.640353e-10
1.300000000000000e-02	1.300000e-02	1.255968e-08	8.373121e-10
1.400000000000000e-02	1.400000e-02	1.368336e-08	9.122239e-10
1.500000000000000e-02	1.500000e-02	1.483211e-08	9.888073e-10
1.600000000000000e-02	1.600000e-02	1.600649e-08	1.067099e-09
1.700000000000000e-02	1.700000e-02	1.720707e-08	1.147138e-09
1.800000000000000e-02	1.800000e-02	1.843445e-08	1.228963e-09
1.900000000000000e-02	1.900000e-02	1.968920e-08	1.312613e-09
2.000000000000000e-02	2.000000e-02	2.097196e-08	1.398131e-09
2.100000000000000e-02	2.100000e-02	2.228333e-08	1.485555e-09
2.200000000000000e-02	2.200000e-02	2.362397e-08	1.574931e-09
2.300000000000000e-02	2.300000e-02	2.499452e-08	1.666301e-09
2.400000000000000e-02	2.400000e-02	2.639565e-08	1.759710e-09
2.500000000000000e-02	2.500000e-02	2.782804e-08	1.855203e-09
2.600000000000000e-02	2.600000e-02	2.929239e-08	1.952826e-09
2.700000000000000e-02	2.700000e-02	3.078942e-08	2.052628e-09
2.800000000000000e-02	2.800000e-02	3.231985e-08	2.154656e-09
2.900000000000000e-02	2.900000e-02	3.388442e-08	2.258961e-09
3.000000000000000e-02	3.000000e-02	3.548391e-08	2.365594e-09
3.100000000000000e-02	3.100000e-02	3.711908e-08	2.474606e-09
3.200000000000000e-02	3.200000e-02	3.879074e-08	2.586050e-09
3.300000000000000e-02	3.300000e-02	4.049970e-08	2.699980e-09
3.400000000000000e-02	3.400000e-02	4.224679e-08	2.816453e-09
3.500000000000000e-02	3.500000e-02	4.403286e-08	2.935524e-09
3.600000000000000e-02	3.600000e-02	4.585879e-08	3.057252e-09
3.700000000000000e-02	3.700000e-02	4.772545e-08	3.181697e-09
3.800000000000000e-02	3.800000e-02	4.963377e-08	3.308918e-09
3.900000000000000e-02	3.900000e-02	5.158466e-08	3.438977e-09
4.000000000000000e-02	4.000000e-02	5.357909e-08	3.571939e-09
4.100000000000000e-02	4.100000e-02	5.561801e-08	3.707867e-09
4.200000000000000e-02	4.200000e-02	5.770243e-08	3.846829e-09
4.300000000000000e-02	4.300000e-02	5.983335e-08	3.988890e-09
4.400000000000000e-02	4.400000e-02	6.201183e-08	4.134122e-09
4.500000000000000e-02	4.500000e-02	6.423891e-08	4.282594e-09
4.600000000000000e-02	4.600000e-02	6.651568e-08	4.434379e-09
4.700000000000000e-02	4.700000e-02	6.884326e-08	4.589551e-09
4.800000000000000e-02	4.800000e-02	7.122276e-08	4.748184e-09
4.900000000000000e-02	4.900000e-02	7.365536e-08	4.910357e-09
5.000000000000000e-02	5.000000e-02	7.614224e-08	5.076149e-09
5.100000000000000e-02	5.100000e-02	7.868461e-08	5.245640e-09
5.200000000000000e-02	5.200000e-02	8.128370e-08	5.418913e-09
5.300000000000000e-02	5.300000e-02	8.394079e-08	5.596053e-09
5.400000000000000e-02	5.400000e-02	8.665716e-08	5.777144e-09
5.500000000000000e-02	5.500000e-02	8.943415e-08	5.962276e-09
5.600000000000000e-02	5.600000e-02	9.227308e-08	6.151539e-09
5.700000000000000e-02	5.700000e-02	9.517537e-08	6.345025e-09
5.800000000000000e-02	5.800000e-02	9.814242e-08	6.542828e-09
5.900000000000000e-02	5.900000e-02	1.011757e-07	6.745045e-09
6.000000000000000e-02	6.000000e-02	1.042766e-07	6.951773e-09
6.100000000000000e-02	6.100000e-02	1.074467e-07	7.163114e-09
6.200000000000000e-02	6.200000e-02	1.106876e-07	7.379171e-09
